"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","reactionEnergy"
1,0,10,0,47,7.576234,1.304473,4.43926202321725,1.6,3,1.93,71,5,11,107.8682,0,0.338155323043821
1.8,0.8,2,0,19.8,6.303862,0.6071626,3.42769108664998,1.32,3,1.674,78.2,3.4,12.6,43.15887088,0.32,0.33624168244117
1,0,10,11.2,72.6,8.89569,2.1077828,5.47335021380224,1.4,4.6,2.418,70.2,5.8,11,179.1468952,0.61,0.321487125945197
1.8,2.4,10,11.2,75.8,7.3436596,1.014784304,4.17861375701491,1.6,4.6,2.002,83.8,5.8,14.2,188.75796,0.0900000000000001,0.561942696339457
1.8,0,10,0,47.8,8.7103028,-0.3151054,4.48563611981821,1.56,2.2,1.738,74.2,5,11.8,111.50244,0.24,0.776154927943054
1.8,0,7.6,0,31,7.8200548,0.790698976,4.30399992275792,1.4,4.6,1.89,65.4,4.2,9.4,68.720196,0.05,-0.365845083054381
1,0,6,0,28.6,6.9284548,0.801637216,3.85123968618713,1.44,5.4,1.714,59.8,4.2,7,63.17052,0.27,-0.864638048856222
1,0,10,0,32.6,7.6963508,1.2495218,4.46950165837938,1.4,3.8,1.906,71.8,4.2,11,72.41044,0.03,-0.0537509186605973
1.8,0,6.8,0,30.2,7.83722128,0.38348368,4.11113089641453,1.44,5.4,1.85,63,4.2,8.6,66.24964,0.0999999999999999,0.875046403046355
1.8,0.8,10,0,34.2,6.3146884,0.50182752,3.37318152197179,1.36,3,1.834,79,4.2,12.6,77.35204,0.12,0.673650325138652
1.8,0,3.6,11.2,67,6.9753028,0.4033506,3.59693795851008,1.56,3.8,1.426,54.2,5.8,5.4,164.36564,0.63,-1.06575167255775
1.8,0,10,11.2,73.4,9.86525,-0.1551054,5.05296628301468,1.52,3.8,1.986,73.4,5.8,11.8,182.04564,0.0700000000000001,0.916906219140429
1.8,0.8,10,0,48.6,6.14433136,0.5000946,3.28183816420442,1.56,3,1.81,77.4,5,12.6,113.42804,0.15,0.696442716443045
1.8,0,7.6,11.2,71,8.6888628,1.512140296,5.14867235714117,1.4,5.4,2.146,67,5.8,9.4,175.34724,0.27,-0.345902403953886
1.8,0,2.8,0,55,5.9767668,0.70693156,3.27691895609512,1.88,3,1.266,40.6,5.8,4.6,132.698016,0.83,-0.733973337260039
1,0,6,0,43,7.1891908,0.858685,4.01788647811721,1.48,5.4,2.114,59,5,7,98.32564,0.23,-0.959736393057909
1,0,5.2,0,42.2,6.9223268,0.9948202,3.94119167031401,1.48,4.6,1.666,56.6,5,6.2,95.898744,0.33,-1.03929091466031
