slab_comp,chemicalComposition,surfaceComposition,Equation,sites,id,pubId,dftCode,dftFunctional,reactants,products,facet,activationEnergy,reactionEnergy
Ag-1.0,Ag12,Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzM5MDI0,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.338155323043821
Ag-0.2-Al-0.8,Ag3Al9,Al3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAzNDgy,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.33624168244117
Ag-0.2-Au-0.8,Ag3Au9,Au3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQyNTE5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.321487125945197
Ag-0.2-Bi-0.8,Ag3Bi9,Bi3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow-tilt|A_A_B|FCC""}",UmVhY3Rpb246MzM5OTM5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.561942696339457
Ag-0.2-Cd-0.8,Ag3Cd9,Cd3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_B|A""}",UmVhY3Rpb246NDAzMDAw,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.776154927943054
Ag-0.2-Co-0.8,Ag3Co9,Co3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ0Mjg5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.365845083054381
Ag-0.2-Cr-0.8,Ag3Cr9,Cr3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246MzQ4NTg2,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.864638048856222
Ag-0.2-Cu-0.8,Ag3Cu9,Cu3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ3NDQ3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-0.0537509186605973
Ag-0.2-Fe-0.8,Ag3Fe9,Fe3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|HCP""}",UmVhY3Rpb246NDI4MTIz,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.875046403046355
Ag-0.2-Ga-0.8,Ag3Ga9,Ga3Ag,0.5H2(g) + * -> H*,"{""H"": ""bridge|A_A|B""}",UmVhY3Rpb246NDAzNzc3,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.673650325138652
Ag-0.2-Hf-0.8,Ag3Hf9,Hf3Ag,0.5H2(g) + * -> H*,"{""H"": ""hollow|A_A_A|FCC""}",UmVhY3Rpb246MzQ4Mjc5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,-1.06575167255775
Ag-0.2-Hg-0.8,Ag3Hg9,Hg3Ag,0.5H2(g) + * -> H*,"{""H"": ""top|B""}",UmVhY3Rpb246NDAzMTA5,MamunHighT2019,Quantum ESPRESSO 5.1,BEEF-vdW,"{""star"": 1, ""H2gas"": 0.5}","{""Hstar"": 1}",111,,0.916906219140429
