"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
1.25,0,10,3.5,50.75,8.44305475,1.0743890625,4.80690738232397,1.475,3.25,2.0125,72,5,11.25,119.52799225,0.28,-2.38505481
0.5,0,10,0,46.5,8.50108425,0.2416059,4.45955010181819,1.4375,3.5,2.0725,70.5,5,10.5,107.91775,0.51,-1.70927104
1.333,0,2.997,1.554,19.87,12.0621231380012,0.51681853205,6.26092856043604,0.6607,1.777,2.08678,92.677,2.443,4.33,46.96362498,0,-1.28410412
0.5,0,10,0,42,8.6011785,0.2666059,4.50833427979039,1.3875,3.5,2.0625,70.75,4.75,10.5,96.16725,0.55,-1.05854431999998
1.25,0,10,7,63.25,8.7552905,1.300423375,5.07645113043537,1.4625,3.75,2.175,71.5,5.5,11.25,153.5530845,0.24,-0.984523969999998
2,0,4,7,49,7.4918045,-0.095570385,3.90612121084193,1.425,6,1.525,56,5,6,117.9429625,0.05,-0.952789530000018
2,0,4,7,58,7.3344755,0.440429615,4.00745612409171,1.4,6,1.7,55.5,5.5,6,139.47394,0.4,-0.888748269999951
1,0,4.438,0,41.438,6.90495804,0.842872978,3.86624510616967,1.45,5.438,1.84528,54.314,5,5.438,94.23510556,0.56,-0.869432019999863
1,0,4.5,0,37,6.84416,0.8144950675,3.82110497039227,1.4375,5.5,1.755,54.75,4.75,5.5,83.437215,0.0599999999999998,-0.833640289999948
1.25,0,10,0,36,8.99768775,-0.17669705,4.60187013097199,1.36875,2.75,1.85625,73.375,4.375,11.25,80.788125,0.55,-0.822193190000007
2,0,4,0,24,7.0901125,0.00383099999999997,3.67618164779775,1.375,6,1.59,57,4,6,52.9397725,0.0799999999999999,-0.811013669999966
1.75,0,4,3.5,45.25,7.12211175,0.703392455,3.93319640339008,1.375,5.75,1.8725,55.25,5,5.75,106.42197,0.0299999999999998,-0.808246230000009
1.25,0,4,3.5,49.25,7.035145,0.892180455,3.96131152097652,1.425,5.25,1.79,53.5,5.25,5.25,115.639785,0.76,-0.80689762999998
1.5,0,4.5,3.5,50,7.2086725,0.758286455,4.00772471474828,1.4,6,2.005,55.75,5.25,6,117.671595,0.2,-0.748739320000027
0.4,0,10,2.8,52.8,8.756972,0.34571296,4.5917427643993,1.42,4,2.16,70,5.2,10.4,125.254,0.2,-0.665186360000007
