"bulk_id","slab_millers","slab_shift","slab_comp","top","*C_ml_Eads","*C_ml_dft_Eads","*C_min_ml_Eads","C_min_sp_e","*CO_ml_Eads","*CO_ml_dft_Eads","*CO_min_ml_Eads","CO_min_sp_e","*CHO_ml_Eads","*CHO_ml_dft_Eads","*CHO_min_ml_Eads","CHO_min_sp_e","CO*COH_ml_Eads","CO*COH_ml_dft_Eads","CO*COH_min_ml_Eads","COCOH_min_sp_e","*H_ml_Eads","*H_ml_dft_Eads","*H_min_ml_Eads","H_min_sp_e","OH_min_sp_e","*OH_ml_Eads","*OH_ml_dft_Eads","*OH_min_ml_Eads","n_bulk_elements","slab_identifier","cleavage_energy","facet_fraction_on_wulff_not_normalized"
"oqmd-745269","(1, 1, 0)",0.125,"Ag-0.5-Au-0.25-Zn-0.25","True","[1.44009757 1.4494586  1.45264959 1.45676541 1.4587574 ]","[-1.18647027 -1.18318304 -1.18566689 -1.19113086 -1.18456958]",1.44009757041931,-1.19113086,"[-0.07128912 -0.06903034 -0.06680125 -0.06671321 -0.06348538]","[-2.62846652 -2.61849717 -2.6189084  -2.62512044 -2.62350848]",-0.0712891221046447,-2.62846651999999,"[0.10203874 0.1083709  0.10889059 0.10889828 0.10912442]","[-2.52445322 -2.52561254 -2.54232991 -2.53655365 -2.51750808]",0.102038741111755,-2.54232990999998,"[0.30815917 0.31132287 0.31451422 0.31749386 0.31864458]","[-2.3617751  -2.35965583 -2.36504699 -2.35947148 -2.33964257]",0.308159172534943,-2.36504699,"[0.25949973 0.26073998 0.26441795 0.26446921 0.26615936]","[-2.36979077 -2.38505481 -2.37284721 -2.37755445 -2.37470672]",0.259499728679657,-2.38505481,0.0312005899999974,"[0.10105002 0.10129476 0.10388207 0.10415167 0.10491878]","[0.03958344 0.04047648 0.03796551 0.03120059 0.0337495 ]",0.101050019264221,3,"13333_1,1,0_0.125_True",0.603226668852338,0.621451927632653
"mp-1183655","(1, 1, 1)",0.167,"Cd-0.25-Pd-0.75","True","[-1.27983773 -1.27552319 -1.26499915 -0.7240963  -0.72308987]","[-2.53712658 -2.53855699 -2.54051282 -1.80385842 -1.80953348]",-1.27983772754669,-2.54051282,"[-1.69599688 -1.6933037  -1.69179368 -1.69045663 -1.69040084]","[-2.89403828 -2.89544749 -2.89324405 -2.89499101 -2.89615402]",-1.69599688053131,-2.89615401999998,"[-0.65900552 -0.65655202 -0.65335274 -0.65283477 -0.65029061]","[-1.75585017 -1.84408507 -1.75785041 -1.843624   -1.84398017]",-0.659005522727966,-1.84408506999998,"[-0.92256224 -0.92199087 -0.92117256 -0.91934043 -0.91885054]","[-2.08165292 -2.1784418  -2.08344241 -2.16906407 -2.09235558]",-0.92256224155426,-2.1784418,"[-0.43141669 -0.4309448  -0.43091771 -0.43059543 -0.43054393]","[-1.70406113 -1.70263735 -1.70451891 -1.70233361 -1.70927104]",-0.431416690349579,-1.70927104,0.715981139999997,"[0.73392826 0.73422605 0.73449188 0.73561293 0.73592275]","[0.71598114 0.72180684 0.72214147 0.72777018 0.72246456]",0.733928263187408,2,"3585_1,1,1_0.167_True",0.887216947254046,1
"dcgat-agm002216085","(1, 0, 0)",0.12730870733845,"Cd-0.222-H-0.667-Ir-0.111","False","[-2.14857888 -2.1422658  -2.07721996 -2.04133511 -2.004529  ]","[-2.17871377 -2.10948335 -2.15382009 -2.11802041 -2.16269254]",-2.14857888221741,-2.17871377,"[-1.97940373 -1.94158506 -1.92890334 -1.86317849 -1.86171937]","[-1.87130699 -1.84217078 -1.82565605 -1.48433192 -1.46992344]",-1.97940373420715,-1.87130698999999,"[-1.70797229 -1.70175076 -1.3370471  -1.2696104  -1.25413609]","[-1.29974603 -1.28443583 -0.70654403 -0.9150253  -0.84239034]",-1.70797228813171,-1.29974602999999,"[-2.35065556 -2.0540874  -1.86883044 -1.69151592 -1.32918072]","[-1.53511904 -2.169655   -1.34464623 -1.38579763 -1.13515727]",-2.3506555557251,-2.16965500000001,"[-0.85218734 -0.81667453 -0.80676162 -0.80612409 -0.80071521]","[-1.25081202 -1.08046501 -1.21248651 -1.18250094 -1.28410412]",-0.85218733549118,-1.28410412,-1.00589148,"[-1.33702826 -1.33301938 -1.32963455 -1.31664181 -1.3158524 ]","[-0.97802951 -0.99475576 -1.00589148 -0.97577362 -1.00501591]",-1.33702826499939,3,"29932_1,0,0_0.127_False",,
"mp-865425","(1, 1, 2)",0.125,"Pd-0.75-Zn-0.25","True","[-0.39365634 -0.39173147 -0.39092639 -0.38896453 -0.38894242]","[-0.95964574 -0.96290758 -0.96354021 -0.96425218 -0.96263003]",-0.393656343221664,-0.96425217999996,"[-1.58040237 -1.57912374 -1.57818139 -1.57708693 -1.57670736]","[-1.55768693 -1.55372641 -1.55661799 -1.55899367 -1.55830271]",-1.58040237426758,-1.55899367000001,"[-0.67924947 -0.67883927 -0.66496176 -0.62130475 -0.61441028]","[-1.25890415 -1.35174789 -1.3531077  -1.35946253 -1.3207882 ]",-0.679249465465546,-1.35946253000003,"[-0.9835608  -0.97081929 -0.96823668 -0.96717429 -0.96643752]","[-1.52907383 -1.52923155 -1.53338085 -1.5285796  -1.53427297]",-0.983560800552368,-1.53427296999996,"[-0.41393885 -0.41314143 -0.41308832 -0.41268915 -0.41228366]","[-1.05626408 -1.05308309 -1.05638308 -1.05538966 -1.05854432]",-0.413938850164413,-1.05854431999998,0.635429469999991,"[0.58444268 0.58489114 0.58514589 0.58575159 0.58671254]","[0.63542947 0.6433808  0.6389178  0.64395748 0.64344523]",0.584442675113678,2,"957_1,1,2_0.125_True",0.978953002011574,0.860695166705771
"oqmd-1478722","(1, 1, 2)",0.062,"Ag-0.25-Au-0.5-Cd-0.25","False","[1.7173543  1.72524476 1.72549868 1.72803354 1.72989655]","[2.00518828 2.00763956 1.99546105 1.99472731 2.01140132]",1.71735429763794,1.99472731,"[-0.33963192 -0.33939606 -0.33733362 -0.33723313 -0.33697471]","[ 0.00783385  0.00346933 -0.00514458  0.00916198  0.00822495]",-0.339631915092468,-0.0051445800000067,"[-0.07842261 -0.075993   -0.073066   -0.07297665 -0.07175827]","[0.24966564 0.2339669  0.24928594 0.23411815 0.25254411]",-0.0784226059913635,0.233966900000013,"[0.16984093 0.19043368 0.19096845 0.21097487 0.21958417]","[0.47868622 0.48453006 0.48815203 0.50682609 0.51252404]",0.169840931892395,0.478686220000014,"[0.13676447 0.13857555 0.13880587 0.14023602 0.14079356]","[-0.97972601 -0.97698328 -0.97894228 -0.96537717 -0.98452397]",0.136764466762543,-0.984523969999998,0.689384369999999,"[0.66321343 0.66642302 0.66747969 0.6681183  0.66885608]","[0.69343916 0.68938437 0.69034676 0.6894946  0.68948302]",0.663213431835175,3,"14061_1,1,2_0.062_False",0.614178834010302,0
"oqmd-307843","(2, 1, 0)",0.083,"Mn-0.5-Ta-0.5","False","[-2.81911731 -2.81768799 -2.81732988 -2.81715965 -2.81674099]","[-2.90119515 -2.89794675 -2.90032922 -2.90058637 -2.89946994]",-2.81911730766296,-2.90119515000004,"[-3.04866982 -3.04637599 -3.04364038 -3.04344726 -3.04341936]","[-3.04637868 -3.04419348 -3.04563993 -3.04903749 -3.04575398]",-3.04866981506348,-3.04903749000005,"[-2.70044708 -2.52540255 -2.52015138 -2.50470877 -2.50257111]","[-2.72283876 -2.54410534 -2.53943663 -2.49321326 -2.49781009]",-2.70044708251953,-2.72283876000006,"[-4.2629981  -4.25580311 -4.24770737 -4.24701262 -4.1998539 ]","[-4.21479781 -4.21751965 -4.21964211 -4.21769443 -4.19265146]",-4.26299810409546,-4.21964211000011,"[-0.95235962 -0.95144826 -0.95073992 -0.95072305 -0.95033485]","[-0.9525434  -0.95274051 -0.95256269 -0.95278953 -0.95266742]",-0.952359616756439,-0.952789530000018,-1.97684485000002,"[-1.99034405 -1.98861933 -1.98801279 -1.9876678  -1.98757672]","[-1.97528617 -1.97684485 -1.97445911 -1.97583    -1.97658094]",-1.99034404754639,2,"11791_2,1,0_0.083_False",,
"mp-11572","(2, 1, 0)",0.083,"Ta-0.5-Tc-0.5","True","[-2.68296123 -2.68138433 -2.68124843 -2.68102455 -2.68090963]","[-2.72273548 -2.72252665 -2.71653277 -2.72252766 -2.71674872]",-2.68296122550964,-2.72273547999998,"[-2.95565939 -2.95440412 -2.95204425 -2.9516561  -2.95021868]","[-2.92058861 -2.92244823 -2.92364713 -2.91678974 -2.92173971]",-2.95565938949585,-2.92364713000006,"[-2.61903167 -2.55816436 -2.55169249 -2.55016732 -2.54817057]","[-2.57676108 -2.52235181 -2.51972793 -2.52191775 -2.5158372 ]",-2.61903166770935,-2.57676107999998,"[-4.150527   -4.15020227 -4.13328314 -4.13280296 -4.0896039 ]","[-4.19375939 -4.19033506 -4.19642617 -4.19279377 -4.14674432]",-4.15052700042725,-4.19642617,"[-0.87537313 -0.87352711 -0.87281072 -0.87226999 -0.87180167]","[-0.88807359 -0.88364417 -0.88874827 -0.88795427 -0.88428574]",-0.875373125076294,-0.888748269999951,-1.98579574000007,"[-1.9708786  -1.96987915 -1.96915483 -1.96885538 -1.96875072]","[-1.98377532 -1.98579574 -1.98454057 -1.98360824 -1.98424439]",-1.97087860107422,2,"2612_2,1,0_0.083_True",,
"oqmd-1339732","(2, 1, 1)",0.063,"Mo-0.438-Nb-0.562","False","[-1.76767755 -1.7619679  -1.76125002 -1.75948811 -1.75867867]","[-1.75703926 -1.7621194  -1.91146271 -1.90930432 -1.90736847]",-1.76767754554749,-1.91146270999991,"[-2.04455686 -2.04083729 -2.03817987 -2.03618455 -2.03058457]","[-2.20626592 -2.20971184 -2.21115089 -2.21212991 -2.2167877 ]",-2.0445568561554,-2.21678769999994,"[-2.11652112 -2.10872889 -2.10221982 -2.02914476 -2.022295  ]","[-2.2637574  -2.25874808 -2.25691326 -2.12022737 -2.11787303]",-2.11652112007141,-2.26375739999992,"[-3.12672734 -2.98229575 -2.90468025 -2.71020341 -2.60662103]","[-3.37724558 -3.21871198 -3.03677944 -2.84012783 -2.73068122]",-3.12672734260559,-3.37724557999991,"[-0.76490426 -0.76467973 -0.76242685 -0.76024145 -0.75989246]","[-0.86725863 -0.86943202 -0.86696753 -0.8634157  -0.86751039]",-0.764904260635376,-0.869432019999863,-1.74609323000004,,,,2,"15955_2,1,1_0.063_False",,
"oqmd-488823","(1, 1, 0)",0.125,"Cr-0.25-Mo-0.25-Nb-0.5","True","[-2.23218846 -2.22872376 -2.22825265 -2.22494602 -2.22405672]","[-2.21536231 -2.21549    -2.30186504 -2.21716508 -2.22016224]",-2.23218846321106,-2.30186503999994,"[-2.05694628 -2.05349851 -2.0481286  -2.04761505 -2.04686594]","[-1.95988964 -1.96097021 -1.96105356 -1.96000846 -1.95847705]",-2.05694627761841,-1.96105355999998,"[-2.4541328  -2.45376277 -2.45134211 -2.44889808 -2.44564891]","[-2.41563308 -2.4164049  -2.4146554  -2.41507581 -2.4153236 ]",-2.45413279533386,-2.41640489999998,"[-2.85411906 -2.84563065 -2.8418107  -2.83962941 -2.83510399]","[-2.83686255 -2.85041156 -2.85040576 -2.8488012  -2.81988099]",-2.85411906242371,-2.85041156,"[-0.85385978 -0.85350484 -0.85260475 -0.85235035 -0.85228676]","[-0.83364029 -0.82960235 -0.83024388 -0.83125571 -0.82944134]",-0.853859782218933,-0.833640289999948,-1.48699308000005,"[-1.49026155 -1.49022496 -1.4899776  -1.4876138  -1.48720193]","[-1.48699308 -1.48528918 -1.48642364 -1.48521079 -1.48343015]",-1.49026155471802,3,"15259_1,1,0_0.125_True",,
"mp-1215488","(1, 1, 0)",0.25,"Pd-0.375-Zn-0.625","True","[0.85922271 0.8602857  0.86239153 0.86444849 0.87392634]","[0.42720097 0.43286898 0.43819461 0.44103917 0.43279912]",0.859222710132599,0.427200970000001,"[-0.84673232 -0.84584767 -0.84524685 -0.84505057 -0.8450501 ]","[-1.47045536 -1.48197902 -1.48408024 -1.47505841 -1.4997049 ]",-0.846732318401337,-1.49970489999998,"[-0.19324225 -0.19312221 -0.19231099 -0.19180322 -0.18848777]","[-0.84638622 -0.8242658  -0.84142239 -0.83254485 -0.83867558]",-0.193242251873016,-0.846386219999999,"[-0.03579223  0.04942822  0.07161438  0.07461095  0.07539749]","[-0.79075194 -0.60191667 -0.67353065 -0.68158203 -0.68799773]",-0.0357922315597534,-0.790751940000007,"[-0.12605691 -0.12580723 -0.12575471 -0.12565297 -0.12548786]","[-0.82219319 -0.80940574 -0.80815236 -0.76523985 -0.8146024 ]",-0.126056909561157,-0.822193190000007,0.0144715799999914,"[-8.10050964e-03 -4.59003448e-03 -5.22136688e-05  7.24554062e-04
  2.11626291e-03]","[0.01616415 0.02075281 0.01447158 0.01717513 0.01585657]",-0.0081005096435546,2,"3121_1,1,0_0.25_True",0.84902374041404,1
